"climbRate","Sgz","'p'","'q'","curPitch","curRoll","absRoll","diffClb"
"416","-6","0.31","0.1","0.18","0.4","-11","4"
"-385","1","-0.25","0.16","0.99","1.1","-10","-14"
"-428","-12","-0.35","0.05","0.98","0.7","-10","-2"
"74","-41","0.16","-0.03","0.47","-0.7","-12","8"
"-23","-23","-0.28","0.08","0.6","-0.6","-12","-4"
"-111","-36","0.36","-0.04","0.63","-0.5","-11","5"
"-32","-38","0.37","0.12","0.58","0.3","-11","3"
"-105","-40","0.22","-0.03","0.65","0.8","-10","-2"
"-79","-44","-0.11","0.04","0.62","1","-10","-1"
"-80","-47","-0.31","-0.07","0.6","0.7","-10","3"
"280","-22","0.27","0.04","0.28","-0.5","-11","2"
"216","-9","0.24","0.1","0.37","0.4","-11","-8"
"-120","-5","-0.24","0.14","0.69","0.6","-10","-11"
"-182","-6","-0.33","0.14","0.74","0.4","-11","-11"
"-245","-12","-0.45","-0.03","0.74","-0.2","-11","6"
"180","-15","-0.19","-0.11","0.3","-1.3","-12","20"
"493","27","0.33","0.09","0.11","-0.7","-12","-8"
"301","45","0.32","0.13","0.29","0.3","-11","-11"
"-220","44","-0.44","0.09","0.75","-0.1","-11","-5"
"-241","33","-0.41","0.01","0.72","-1.4","-12","9"
"51","26","0.19","-0.01","0.46","-1.8","-13","8"
"243","34","0.48","0.01","0.29","-0.8","-12","6"
"282","44","0.47","0.06","0.28","0.3","-11","-4"
"-77","59","-0.37","0.08","0.61","0.7","-10","-5"
"-152","55","-0.46","0.07","0.68","-0.1","-11","-4"
"-191","32","0.19","0.06","0.7","-1.6","-12","0"
"-226","22","0.28","0.08","0.74","-0.7","-12","-3"
"-132","-13","-0.24","0.03","0.64","-0.5","-11","3"
"469","26","0.25","0.02","0.09","-0.4","-11","4"
"103","72","-0.31","0.09","0.45","-0.6","-11","-5"
"-27","74","0.4","0.06","0.55","-0.8","-12","-2"
"-91","72","0.39","0.08","0.62","0.5","-10","-5"
"-324","56","-0.12","0.08","0.84","1.3","-10","-6"
"-465","34","-0.33","0.08","0.96","0.5","-11","-5"
"-534","11","-0.28","0.07","1.02","-0.5","-11","-2"
"-250","-26","0.28","-0.02","0.73","-0.6","-12","7"
"-103","-37","0.22","0.06","0.63","1.4","-10","-4"
"-226","-44","-0.13","0.09","0.76","1.6","-9","-8"
"-231","-53","-0.4","0.01","0.72","0.9","-10","4"
"-10","-61","-0.3","-0.06","0.5","-0.4","-11","10"
"257","-56","-0.1","-0.06","0.25","-0.9","-12","12"
"517","-35","0.19","0.01","0.04","-0.7","-12","6"
"287","13","-0.11","0.16","0.32","0.2","-11","-14"
"60","20","-0.23","0.1","0.49","-0.4","-11","-5"
"118","27","0.23","0.07","0.42","-0.7","-12","-2"
"-14","32","0.18","0.08","0.55","0.4","-11","-5"
"-200","26","-0.13","0.09","0.72","0.6","-10","-6"
"48","-12","0.21","0.01","0.47","0.4","-11","4"
"70","-11","0.22","0.01","0.45","0.5","-11","4"
"-136","-11","-0.25","-0.01","0.64","0.6","-10","2"
"-90","-16","-0.35","0.03","0.59","-0.3","-11","3"
"350","8","0.32","0.02","0.19","-0.2","-11","3"
"371","15","0.34","0.11","0.2","0.3","-11","-5"
"59","33","-0.32","0.11","0.5","0.5","-10","-8"
"-5","32","-0.37","0.01","0.51","-0.9","-12","3"
"249","41","0.26","0.01","0.28","-1.2","-12","5"
"347","51","0.45","0.1","0.2","-0.5","-11","3"
"198","62","0.4","0.17","0.39","0.7","-10","-14"
"-375","55","-0.17","0.15","0.91","1.1","-10","-14"
"-571","43","-0.31","0.06","1.08","0.7","-10","-12"
"-347","-13","0.03","0.01","0.82","-0.7","-12","5"
"-318","-16","0.09","0.01","0.79","-0.7","-12","5"
"-187","-27","0.14","0.02","0.69","-0.2","-11","1"
"472","3","-0.13","0.04","0.09","-0.5","-11","1"
"380","40","0.16","0.08","0.19","-0.7","-12","-3"
"231","58","0.11","0.11","0.33","0.1","-11","-7"
"-447","49","-0.18","0.08","0.96","-0.5","-11","-12"
"-410","33","-0.11","0.01","0.87","-0.8","-12","5"
"-195","16","0.18","-0.05","0.66","-0.7","-12","10"
"13","13","-0.32","0.05","0.51","-0.6","-11","1"
"118","17","-0.1","0.03","0.4","-1.7","-13","4"
"195","21","0.12","0.01","0.33","-1.7","-13","5"
"314","32","0.4","0.02","0.22","-0.9","-12","4"
"335","48","0.39","0.1","0.24","0.3","-11","-9"
"42","58","0.07","0.17","0.53","1","-10","-15"
"-45","58","-0.03","0.17","0.61","1","-10","-15"
"-337","50","-0.23","0.06","0.86","0.7","-10","-12"
"-110","22","0.26","0.01","0.6","0.5","-11","4"
"-57","19","0.31","0.15","0.59","1.1","-10","-6"
"-187","14","0.06","0.02","0.68","1.5","-9","2"
"-182","11","-0.01","0.03","0.68","1.5","-9","-2"
"138","0","0.18","0.01","0.38","1.4","-10","2"
"195","35","-0.34","0.04","0.33","-0.4","-11","1"
"377","67","0.43","0.05","0.18","-0.3","-11","-4"
"366","71","0.48","0.07","0.19","0","-11","-3"
"-342","78","-0.13","0.16","0.88","1.6","-9","-15"
"-511","70","-0.27","0.16","1.03","1.3","-10","-15"
"-556","53","-0.31","0.03","1.02","0.8","-10","0"
"-152","17","0.14","-0.05","0.62","0.2","-11","10"
"-56","16","0.22","-0.05","0.53","0.4","-11","10"
"40","24","-0.34","0.04","0.47","-0.3","-11","1"
"249","47","0.29","0.04","0.28","-0.5","-11","2"
"61","59","0.1","0.11","0.49","0.5","-10","-9"
"-129","58","-0.16","0.12","0.66","0.5","-11","-10"
"-236","42","-0.17","0.02","0.72","-0.6","-12","3"
"-145","33","0.12","0.02","0.63","-0.7","-12","4"
"-65","27","0.25","0.04","0.57","0.4","-11","1"
"-115","20","-0.21","0.05","0.62","0.7","-10","-2"
"-68","10","-0.11","0.04","0.57","-0.6","-12","2"
"57","9","0.1","-0.02","0.43","-0.7","-12","9"
"159","11","0.19","-0.04","0.34","-0.5","-11","9"
"187","27","-0.04","0.06","0.35","0.2","-11","-2"
"158","41","-0.18","0.05","0.37","-0.6","-12","-1"
"289","68","0.34","0.03","0.24","-0.2","-11","2"
"309","74","0.39","0.03","0.23","0.3","-11","1"
"-120","94","-0.36","0.12","0.65","0.4","-11","-9"
"-187","88","-0.4","0.02","0.68","-0.5","-11","-1"
"-32","78","0.27","0.03","0.53","-0.9","-12","3"
"17","78","0.43","0.04","0.49","-0.2","-11","2"
"-456","55","0.11","0.04","0.93","1.6","-9","-3"
"-469","16","-0.4","0","0.92","0.8","-10","4"
"-257","-16","-0.58","0.04","1.15","0.1","-10","2"
"-89","-29","-0.22","-0.01","0.93","-2.1","-12","6"
"87","-24","0.37","0.06","0.75","-0.8","-11","-2"
"107","-20","0.31","0.03","0.71","0.3","-10","2"
"4","-14","-0.12","0.12","0.85","0.8","-9","-8"
"156","-13","-0.14","0","0.61","-0.9","-11","5"
"2","1","0.12","0.15","0.83","-1","-11","-10"
"-85","-4","0.22","0.03","0.82","-0.5","-10","8"
"-20","-2","-0.16","0.09","0.8","0.2","-10","-6"
"-129","-5","-0.23","0.09","0.9","-0.4","-10","-5"
"233","-6","0.23","0.12","0.55","-0.7","-11","-10"
"75","1","0.28","0.21","0.73","0","-10","-17"
"-155","0","0.2","0.2","0.95","0.4","-10","-16"
"-330","-17","-0.18","0.02","1.03","0.5","-9","5"
"-156","-31","-0.19","-0.01","0.85","-0.5","-10","5"
"-42","-34","0.11","-0.13","0.69","-0.6","-11","11"
"117","-28","0.45","0.07","0.6","0.6","-9","-4"
"25","-26","0.46","0.1","0.7","1.5","-9","-7"
"24","-26","0.24","-0.02","0.66","2.4","-8","2"
"71","-24","-0.18","0.01","0.61","2.6","-7","0"
"143","-15","-0.42","0.01","0.52","0.7","-9","2"
"232","-5","-0.16","0.02","0.43","-0.5","-10","3"
"249","-3","-0.1","0.02","0.41","-0.6","-10","3"
"222","8","0.14","0.17","0.48","-0.5","-10","-7"
"-2","12","0.35","0.11","0.69","0.3","-10","-7"
"-166","6","0.29","0.05","0.83","1.5","-8","-4"
"-248","-4","0.08","0.06","0.91","2.1","-8","-5"
"-71","-23","-0.36","-0.05","0.68","1.2","-9","7"
"416","-6","-0.08","-0.04","0.2","-0.6","-10","8"
"432","-4","-0.07","-0.04","0.19","-0.6","-11","8"
"528","12","0.08","0.28","0.18","-0.6","-10","-9"
"224","30","0.06","0.12","0.45","-0.2","-10","-10"
"-74","33","-0.15","0.2","0.76","-0.3","-10","-17"
"-172","32","-0.21","0.2","0.86","-0.4","-10","-18"
"327","-6","0.26","-0.1","0.24","-0.9","-11","15"
"496","12","0.36","0.16","0.2","-0.2","-10","-14"
"182","29","0.35","0.14","0.48","1","-9","-13"
"-37","31","0.22","0.17","0.69","1.6","-8","-14"
"-320","5","-0.25","0.04","0.9","1.3","-9","-2"
"-84","-15","0.06","0.02","0.65","0.4","-10","3"
"-9","-18","-0.21","0.03","0.58","0.1","-10","1"
"30","8","0.23","0.1","0.57","0.5","-10","-8"
"8","5","-0.11","0","0.54","0.9","-9","3"
"-333","-5","-0.11","0.01","0.87","-0.7","-11","-5"
"-264","-20","0.1","-0.02","0.77","-0.8","-11","6"
"147","-10","-0.23","0.08","0.43","-0.5","-10","-5"
"-8","-22","0.34","0.02","0.54","0.5","-9","1"
"-46","-23","-0.12","0.04","0.59","1.4","-9","-3"
"-67","-25","-0.29","-0.13","0.58","1","-9","2"
"338","-14","-0.2","-0.04","0.2","-0.5","-10","8"
"327","5","0.14","0.11","0.27","-0.7","-11","-9"
"-307","-10","0.08","0.03","0.82","1.7","-8","-1"
"-142","-26","-0.21","-0.08","0.63","1.5","-8","10"
"375","-14","0.04","-0.06","0.16","0.5","-9","9"
"568","6","0.17","-0.04","-0.01","0.8","-9","6"
"-293","41","-0.3","0.14","0.83","0.5","-9","-7"
"-327","21","-0.29","-0.03","0.81","-0.6","-10","5"
"46","3","0.31","-0.04","0.46","-0.7","-11","9"
"91","10","0.38","0.1","0.48","0.6","-9","-6"
"-118","-19","-0.46","-0.01","0.63","-0.4","-10","5"
"-21","-22","-0.34","0.04","0.55","-1.5","-11","1"
"110","-19","0.29","0.03","0.43","-1.7","-12","3"
"122","-18","0.34","0.03","0.42","-1.6","-12","3"
"35","-15","0.52","0.35","0.6","-0.8","-11","-23"
"-663","-33","0.45","-0.03","1.14","1","-9","-3"
"-676","-46","0.3","0.04","1.16","1.5","-9","-4"
"-239","-70","-0.07","-0.23","0.66","1.7","-8","22"
"704","-58","-0.19","-0.24","-0.23","1.2","-9","29"
"875","-44","-0.16","-0.11","-0.31","1","-9","8"
"977","-29","-0.14","0.14","-0.36","0.9","-9","2"
"805","0","-0.25","0.34","-0.11","0.6","-9","-24"
"43","16","-0.34","0.33","0.62","-0.2","-10","-33"
"-214","15","-0.29","0.34","0.86","-0.5","-10","-33"
"-472","-13","0.09","0.01","0.95","-1","-11","4"
"-410","-23","0.33","0","0.89","-0.7","-11","4"
"-126","-33","0.59","-0.07","0.6","0.3","-10","13"
"-53","-34","0.59","-0.09","0.53","0.7","-9","12"
"219","-29","0.22","-0.06","0.3","2","-8","7"
"316","-14","-0.21","0.03","0.25","1.9","-8","-2"
"320","16","-0.06","0.02","0.24","0.7","-9","1"
"-199","21","-0.02","0.25","0.82","0.7","-9","-29"
"-798","-8","0.03","0.08","1.3","0.7","-9",""
"-666","-33","0.09","-0.1","1.09","0.8","-9","13"
"271","-53","0.12","-0.23","0.18","1.2","-9","29"
"764","-37","0.12","0.14","-0.22","1.4","-9","17"
"359","-3","-0.16","0.26","0.31","1.4","-9","-29"
"-104","-2","-0.37","0.01","0.58","0.8","-9","14"
"106","5","0.14","0.21","0.46","-0.7","-11","-4"
"-550","-20","-0.02","-0.02","0.99","0.1","-10","11"
"181","-42","-0.09","-0.12","0.3","-0.3","-10","16"
"535","-17","-0.11","0.38","0.09","-0.6","-11","-5"
"134","-16","0.39","-0.09","0.36","-0.2","-10","13"
"155","-13","0.42","0.08","0.43","0.4","-10","-12"
"-233","-15","-0.01","0.04","0.77","1.5","-8","-10"
"-60","-23","-0.31","-0.06","0.53","1.1","-9","14"
"151","-11","-0.22","0.14","0.43","-0.6","-10","-10"
"-56","-9","-0.01","0.23","0.64","-0.8","-11","-15"
"-223","-12","0.16","0.18","0.8","-0.7","-11","-17"
"188","-17","0.33","-0.11","0.3","0.5","-10","16"
"84","9","-0.36","0.14","0.5","0.7","-9","-12"
"-109","8","-0.54","-0.18","0.6","-0.3","-10","3"
"207","10","-0.31","-0.07","0.29","-1.5","-11","14"
"44","18","0.14","0.18","0.55","-1.8","-12","-17"
"-364","10","0.41","0.17","0.92","-0.9","-11","-15"
"-530","-18","0.31","-0.02","1","0.4","-10","3"
"-524","-20","0.29","-0.03","0.99","0.5","-10","4"
"592","-16","-0.26","0.13","0.06","0.7","-9","-20"
"-111","14","0.11","0.1","0.65","-0.7","-11","-7"
"-33","-42","-0.16","0","0.54","-0.4","-10","4"
"27","-42","-0.17","0","0.49","-0.6","-10","4"
"531","-8","0.25","0.38","0.09","-0.5","-10","-6"
"-89","4","0.11","0.25","0.7","0.3","-10","-26"
"-452","-6","-0.18","-0.12","0.92","0.3","-10","2"
"310","-18","0.16","0.24","0.27","-0.7","-11","-3"
"-189","-11","0.05","0.12","0.73","0.4","-10","-10"
"12","-39","-0.03","-0.14","0.44","0.2","-10","20"
"503","-15","0.16","-0.02","0.05","0.4","-10","5"
"-171","4","-0.5","-0.05","0.65","-0.3","-10","7"
"-126","2","-0.55","-0.02","0.61","-0.6","-11","7"
"-54","1","-0.58","0.05","0.57","-1.3","-11","2"
"90","1","-0.22","-0.05","0.41","-2.3","-12","10"
"-448","0","0.58","0.06","0.99","-0.8","-11","-19"
"-349","-24","0.59","-0.02","0.82","1.4","-9","5"
"-148","-34","0.34","-0.06","0.62","2.4","-8","11"
"74","-35","-0.14","-0.05","0.42","2.7","-7","9"
"194","-32","-0.55","-0.07","0.31","2.2","-8","9"
"169","-13","-0.14","0.12","0.43","-0.1","-10","-15"
"123","-12","-0.08","0.12","0.45","-0.1","-10","-11"
"-336","-18","0.29","0.15","0.88","0.4","-10","-13"
"-538","-52","0.05","-0.12","1","1.5","-8","0"
"-306","-69","-0.26","-0.08","0.75","1.3","-9","13"
"297","-70","-0.15","-0.08","0.21","-0.4","-10","12"
"-63","-43","0.06","-0.2","0.58","-0.4","-10","-7"
"419","-30","0.31","-0.08","0.1","0.4","-10","12"
"212","15","-0.36","0.29","0.45","1","-9","-31"
"-56","16","-0.52","0.28","0.67","0.5","-9","-26"
"-511","9","-0.56","0.11","1.08","-0.5","-10","-28"
"-328","-22","0.21","-0.04","0.79","-1.2","-11","10"
"-183","-29","0.49","-0.02","0.66","-0.6","-11","9"
"-44","-33","0.61","-0.02","0.55","0.7","-9","4"
"201","-30","0.27","-0.09","0.3","2.4","-8","10"
"353","-24","-0.03","-0.09","0.16","2.6","-7","11"
"583","1","-0.58","-0.05","-0.05","1.3","-9","9"
"224","41","-0.18","0.36","0.45","-0.9","-11","-33"
"-9","43","-0.08","0.27","0.62","-1","-11","-25"
"-156","31","0.18","-0.04","0.63","-0.7","-11","9"
"9","34","-0.13","0.18","0.6","-0.2","-10","-24"
"-209","32","-0.25","0.21","0.79","-0.5","-10","-20"
"-446","24","-0.28","0.2","0.99","-0.8","-11","-17"
"-310","-24","0.29","-0.08","0.76","-1","-11","12"
"17","-30","0.4","-0.06","0.47","0.3","-10","10"
"-43","-26","0.01","0.16","0.61","1.2","-9","-13"
"-141","-33","-0.35","-0.15","0.56","0.7","-9","24"
"337","-27","-0.34","0.04","0.18","-0.5","-10","13"
"443","1","0.23","0.04","0.12","-0.7","-11","1"
"106","26","0.05","0.15","0.47","0.6","-9","-14"
"-63","27","-0.12","-0.12","0.59","0.5","-9","-9"
"33","26","-0.35","0.01","0.46","0.3","-10","9"
"513","38","-0.01","0.02","-0.02","-0.6","-11","19"
"613","58","0.3","0.43","0.03","-0.3","-10","-11"
"271","67","0.42","0.26","0.37","0.2","-10","-26"
"-467","55","-0.13","0.15","0.99","1.3","-9","-14"
"-584","5","-0.09","-0.16","1.02","0.2","-10","6"
"229","-1","0.03","0.02","0.3","0.2","-10","2"
"-60","21","-0.19","0.09","0.59","-0.6","-10","-6"
"-26","-8","0.28","0.02","0.53","0.6","-9","2"
"7","-9","-0.43","0.04","0.51","-0.5","-10","1"
"-35","-9","0.16","0.06","0.55","-1.7","-12","-2"
"-171","-15","0.28","0.09","0.69","-0.5","-10","-6"
"-263","-29","-0.08","0.05","0.76","0.1","-10","-2"
"187","-33","-0.07","-0.11","0.29","-0.6","-10","16"
"386","-24","0.11","0.23","0.22","-0.6","-10","-12"
"1","-11","0.22","0.14","0.56","0.4","-10","-12"
"-63","-15","-0.24","0.04","0.58","0.6","-9","-2"
"-129","-19","-0.34","0.07","0.65","-0.5","-10","-5"
"-94","-27","-0.01","-0.02","0.58","-1.2","-11","5"
"-60","-27","0.09","0","0.55","-1.2","-11","6"
"-17","-28","0.2","-0.01","0.51","-1.1","-11","5"
"125","-4","0.03","0.09","0.42","0.5","-9","-7"
"55","-2","-0.04","0.09","0.49","0.5","-9","-7"
"-147","-5","-0.18","0.08","0.67","0","-10","-6"
"-69","-14","-0.06","-0.06","0.54","-0.5","-10","8"
"33","16","0.01","0.1","0.5","0.5","-9","-8"
"-22","15","-0.09","0.02","0.51","0.5","-10","5"
"-190","26","-0.05","0.16","0.73","-0.6","-11","-14"
"-453","10","0.13","0.1","0.93","-0.6","-11","-5"
"-554","-10","0.26","0.09","1.03","-0.2","-10","-7"
"-625","-28","0.29","-0.22","1.03","0.4","-10","8"
"-223","-50","0.25","-0.09","0.66","1.3","-9","11"
"134","-52","0.07","-0.12","0.33","1.8","-8","14"
"443","-8","-0.62","0.07","0.11","-0.4","-10","-3"
"380","4","-0.65","0.16","0.2","-1.5","-11","-10"
"265","14","-0.45","0.09","0.28","-2.4","-12","-6"
"156","27","0.35","0.08","0.37","-2.7","-13","-3"
"-365","-6","-0.21","-0.11","1.39","-1.5","-11","12"
"-202","-15","0.19","0.01","1.23","-1.5","-11","6"
"-68","-23","0.48","-0.05","1.08","0.2","-10","1"
"-53","-24","0.24","0.09","1.08","1.7","-8","-5"
"-72","-24","0.19","0.09","1.1","1.8","-8","-6"
"161","-25","-0.35","-0.06","0.73","1.4","-9","7"
"-53","-19","-0.32","0.08","1.01","-0.4","-10","-3"
"-160","-24","-0.04","0.1","1.13","-1","-11","-5"
"-216","-40","0.05","0.03","1.14","-0.6","-11","1"
"-180","-47","0.04","-0.12","1.05","-0.6","-11","7"
"125","-42","-0.05","0.12","0.76","0.1","-10","-7"
"272","-27","-0.08","0.02","0.53","-0.6","-11","3"
"369","10","0.08","0.28","0.48","-0.6","-11","-9"
"-166","17","-0.1","0.15","1.02","-0.5","-10","-11"
"-246","15","-0.13","0.16","1.1","-0.6","-10","-11"
"-376","5","-0.16","0.09","1.19","-0.9","-11","-4"
"-317","-14","0.01","-0.07","1.02","-1.1","-11","18"
"144","-14","0.02","0.03","0.6","-0.4","-10","2"
"14","-5","-0.04","0.07","0.69","-0.6","-11","-3"
"-104","-20","0.13","0.04","0.77","0.5","-10","0"
"-57","-29","-0.16","0","0.7","0.6","-9","3"
"-13","-30","-0.02","0.05","0.67","-0.2","-10","-1"
"-15","-30","0.04","0.05","0.67","-0.2","-10","-2"
"55","-30","0.27","-0.02","0.57","0.5","-9","4"
"100","-28","0.32","0","0.53","0.9","-9","3"
"80","-25","0.21","0.22","0.63","1.4","-9","-15"
"-38","-24","0.13","0.13","0.73","1.6","-8","-13"
"-29","-27","-0.13","-0.03","0.65","1.6","-8","3"
"335","-9","-0.38","0.11","0.35","-0.4","-10","-13"
"-125","1","0.01","0.17","0.79","-1.4","-11","-14"
"-374","-9","0.23","0.1","1","-1.1","-11","-6"
"-426","-31","0.4","0.03","1.01","-0.1","-10","2"
"-400","-38","0.39","0.01","0.98","0.4","-10","3"
"40","-49","0.1","-0.08","0.52","1.4","-9","11"
"340","-41","-0.06","-0.1","0.22","1.3","-9","14"
"389","-9","0.04","0.08","0.25","1.3","-9","-7"
"-46","9","-0.17","0.17","0.7","1.2","-9","-18"
"-328","3","-0.23","-0.14","0.89","0.8","-9","-5"
"-45","-9","-0.2","-0.1","0.57","0.2","-10","14"
"248","-5","-0.14","-0.07","0.31","-0.3","-10","9"
"393","9","0.03","0.07","0.24","-0.4","-10","-7"
"-499","10","0.3","0.01","1.04","1","-9","-2"
"-545","-3","0.31","0.06","1.1","1.5","-9","-5"
"-442","-27","-0.06","-0.02","0.97","1.9","-8","3"
"-283","-44","-0.49","-0.05","0.8","1.2","-9","9"
"-158","-50","-0.62","0.01","0.68","0.4","-10","9"
"-132","-51","-0.61","0.16","0.7","0","-10","0"
"-187","-55","-0.49","-0.15","0.7","-0.9","-11","8"
"199","-55","-0.02","-0.11","0.31","-1.5","-11","17"
"466","-38","0.38","0.09","0.17","-0.9","-11","-12"
"330","-23","0.43","0.11","0.29","0.1","-10","-9"
"-60","-19","-0.18","-0.03","0.58","1.2","-9","7"
"210","10","0.05","0.19","0.41","0.3","-10","-16"
"-325","7","0.06","0.2","0.91","0.6","-9","-18"
"-589","-21","-0.06","-0.08","1.07","0.6","-9","2"
"-489","-33","-0.11","-0.04","0.97","0.4","-10","6"
"276","-40","0.13","-0.22","0.18","0.4","-10","28"
"330","-39","0.16","-0.22","0.13","0.4","-10","27"
"598","-31","0.26","-0.22","-0.12","0.6","-9","27"
"453","3","0.25","0.2","0.2","1.6","-8","-21"
"5","11","0.05","0.22","0.62","1.9","-8","-22"
"-236","-4","-0.21","-0.04","0.73","1.5","-8","6"
"159","0","0.09","0.04","0.39","0.6","-9","-1"
"-295","-14","-0.09","0.05","0.8","0.7","-9","-3"
"-319","-19","-0.08","0.05","0.82","0.6","-9","-3"
"336","-21","-0.2","-0.04","0.19","-0.5","-10","8"
"312","27","0.21","0.16","0.3","-0.7","-11","-16"
"-453","22","0.17","0.18","0.99","0.5","-10","-18"
"18","-21","-0.2","-0.05","0.47","0.5","-9","8"
"133","-7","0.03","0.11","0.43","-0.3","-10","-9"
"-248","-22","0.12","-0.01","0.73","0.5","-10","4"
"242","-26","-0.15","-0.05","0.27","0.5","-9","8"
"-79","23","-0.06","0.13","0.63","-0.6","-11","-11"
"-127","17","0.09","0","0.62","-0.6","-11","3"
"-212","6","-0.25","0.09","0.73","-0.5","-10","-6"
"-81","-6","0.01","0","0.57","-1.1","-11","6"
"64","5","0.14","0.07","0.48","0.6","-9","-5"
"-202","-2","-0.16","0.08","0.72","0.7","-9","-6"
"200","8","-0.04","0.07","0.35","-1","-11","-4"
"90","18","0.27","0.07","0.45","-0.5","-10","-3"
"-281","-9","-0.18","-0.06","0.72","0.6","-9","15"
"313","-5","0.28","0.21","0.28","0.4","-10","-10"
"230","-2","0.36","0.07","0.33","0.7","-9","-7"
"-229","4","-0.46","0.15","0.77","0.8","-9","-14"
"-374","-11","-0.44","-0.18","0.77","-0.5","-10","20"
"411","-13","0.17","-0.1","0.05","-1","-11","28"
"630","-2","0.38","-0.15","-0.14","-0.7","-11","19"
"685","17","0.57","0.05","-0.11","0.2","-10","0"
"420","59","0.34","0.12","0.18","2.3","-8","-14"
"296","65","0.23","0.14","0.29","2.6","-7","-14"
"99","69","0.07","0.21","0.51","2.8","-7","-24"
"-599","35","-0.09","0.04","1.06","1.8","-8","-2"
"-255","2","0.02","-0.11","0.69","1.8","-8","14"
"-143","-4","-0.14","0.12","0.7","1.8","-8","-15"
"-240","-7","-0.21","0.15","0.78","1.6","-8","-13"
"-315","-10","-0.26","0.14","0.85","1.5","-9","-14"
"277","-16","-0.05","-0.18","0.18","0.8","-9","22"
"-36","22","0.13","0.19","0.61","1.5","-8","-19"
"-335","3","-0.13","0.03","0.82","1.7","-8","0"
"293","-9","-0.25","-0.15","0.18","0.5","-9","19"
"-17","11","-0.02","0.13","0.57","-0.4","-10","-11"
"-65","-32","0.07","-0.04","0.54","0.6","-9","7"
"58","-31","-0.05","0.03","0.46","0.7","-9","1"
"230","-21","-0.41","-0.01","0.29","-0.4","-10","5"
"271","-8","-0.38","0.07","0.28","-1.6","-11","-4"
"-5","5","0.3","0.12","0.55","-1.9","-12","-8"
"-185","2","0.5","0.17","0.72","-0.9","-11","-12"
"-238","-2","0.47","0.05","0.75","-0.6","-11","-6"
"-188","-12","0.05","0.01","0.67","0.3","-10","2"
"-114","-18","-0.38","-0.18","0.56","-0.2","-10","13"
"187","-16","-0.51","-0.1","0.3","-1.1","-11","12"
"288","10","0.18","0.12","0.28","-1.8","-12","-9"
"13","18","0.43","0.14","0.54","-0.7","-11","-11"
"-140","4","0.05","-0.08","0.6","0.7","-9","10"
"-12","2","-0.27","0.01","0.51","0.5","-9","3"
"-19","2","-0.53","0.12","0.57","-0.4","-10","-12"
"-153","-1","-0.58","0.08","0.67","-1.4","-11","-7"
"-238","-7","-0.44","-0.02","0.73","-2.4","-12","-4"
"-73","-14","0.18","-0.01","0.55","-2.8","-13","9"
"91","-13","0.68","0.04","0.42","-1.1","-11","2"
"101","-9","0.61","0.4","0.49","0.2","-10","-13"
"-140","-10","0.44","0.19","0.71","0.7","-9","-21"
"-703","-29","-0.25","-0.22","1.12","0.9","-9","0"
"-588","-48","-0.1","-0.22","0.97","0.6","-9","15"
"-204","-63","0.05","-0.09","0.65","0.7","-9","11"
"527","-51","-0.18","0.13","0.06","0.5","-10","-7"
"252","-17","-0.18","0.14","0.32","-0.7","-11","-12"
"86","-21","0.45","-0.06","0.4","0.4","-10","9"
