"diffRollRate","diffDiffClb","SeTime1","SeTime2","SeTime3","SeTime4","SeTime5","SeTime6"
"-0.01","0","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.003","-0.6","0.02","0.02","0.02","0.02","0.02","0.02"
"0.009","-0.1","0.02","0.019","0.019","0.019","0.019","0.019"
"-0.004","0","0.02","0.02","0.02","0.02","0.02","0.02"
"0.004","1.4","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.01","-1","0.019","0.02","0.02","0.02","0.02","0.02"
"-0.007","1.5","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.014","-0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.011","1.7","0.019","0.018","0.018","0.018","0.018","0.018"
"0.004","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.007","0.5","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.017","-0.1","0.02","0.02","0.02","0.021","0.021","0.021"
"-0.016","0","0.018","0.018","0.018","0.018","0.018","0.02"
"-0.004","1.1","0.017","0.017","0.017","0.017","0.017","0.017"
"0.013","-0.7","0.017","0.016","0.016","0.016","0.016","0.016"
"0.006","0.6","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.008","0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.009","0","0.02","0.02","0.02","0.02","0.02","0.02"
"0.013","-0.5","0.018","0.018","0.018","0.018","0.018","0.018"
"0.014","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","-0.2","0.019","0.019","0.019","0.018","0.018","0.018"
"-0.008","0.4","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.008","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.002","0.3","0.019","0.019","0.019","0.019","0.019","0.019"
"0.01","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.004","-0.2","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.005","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.001","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.005","0","0.019","0.019","0.019","0.019","0.019","0.019"
"0.006","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.008","0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.012","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.004","0","0.019","0.019","0.019","0.019","0.019","0.019"
"0.006","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.01","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.01","0.4","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.02","0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.004","0.3","0.018","0.018","0.018","0.018","0.018","0.018"
"0.007","0.2","0.017","0.017","0.017","0.017","0.017","0.017"
"0.01","-0.2","0.017","0.017","0.017","0.017","0.017","0.017"
"0.008","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.009","-0.5","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.002","-0.5","0.019","0.019","0.019","0.019","0.019","0.019"
"0.007","-0.3","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.007","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.009","0","0.019","0.019","0.019","0.019","0.019","0.019"
"0.002","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.001","-0.1","0.019","0.019","0.019","0.019","0.019","0.018"
"-0.008","1.4","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","-0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"0.001","-1.5","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.016","0","0.02","0.02","0.02","0.02","0.02","0.02"
"0.011","0.3","0.018","0.018","0.018","0.018","0.018","0.018"
"0.012","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.005","-0.8","0.02","0.02","0.02","0.02","0.02","0.019"
"-0.017","-0.3","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.011","0","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.005","0.7","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.008","-0.1","0.017","0.017","0.017","0.017","0.017","0.018"
"-0.007","0.8","0.017","0.018","0.018","0.018","0.018","0.018"
"-0.002","-0.2","0.019","0.019","0.019","0.019","0.019","0.018"
"0.007","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.009","-0.2","0.02","0.02","0.02","0.019","0.019","0.019"
"-0.002","0.6","0.018","0.018","0.018","0.018","0.018","0.018"
"0.01","0.3","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-0.2","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.004","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.014","0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"0.007","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.008","-0.4","0.02","0.02","0.02","0.019","0.019","0.019"
"-0.016","-0.2","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.016","-0.1","0.02","0.02","0.02","0.02","0.02","0.021"
"-0.002","0.8","0.018","0.018","0.018","0.018","0.018","0.018"
"0.007","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.01","-2.2","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.009","0.4","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.009","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.001","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.01","0.6","0.019","0.019","0.019","0.019","0.019","0.019"
"0.009","-0.3","0.02","0.019","0.019","0.019","0.019","0.019"
"-0.013","0","0.019","0.02","0.02","0.02","0.02","0.02"
"-0.012","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"0.008","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","-0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"0.004","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.01","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.013","0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"0.009","0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"0.011","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.003","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.009","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.006","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-0.7","0.017","0.017","0.017","0.017","0.017","0.017"
"0.008","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.008","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.001","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.005","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.008","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.007","0.7","0.018","0.018","0.018","0.018","0.018","0.018"
"0.011","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.005","-0.3","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.009","0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.007","-0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.01","-0.6","0.031","0.031","0.031","0.031","0.031","0.031"
"0.02","0","0.029","0.029","0.029","0.029","0.029","0.029"
"0.001","-0.2","0.03","0.03","0.03","0.03","0.03","0.03"
"-0.006","-0.4","0.029","0.029","0.029","0.029","0.029","0.029"
"-0.019","-0.1","0.029","0.029","0.029","0.029","0.029","0.029"
"0.007","-0.1","0.028","0.028","0.028","0.027","0.027","0.027"
"0.004","0","0.03","0.03","0.03","0.03","0.03","0.03"
"0.003","-1.4","0.026","0.026","0.026","0.026","0.026","0.026"
"-0.008","-0.1","0.027","0.028","0.028","0.028","0.028","0.028"
"0.001","-0.2","0.027","0.027","0.027","0.027","0.027","0.027"
"0.007","-0.8","0.027","0.027","0.027","0.027","0.027","0.027"
"-0.005","-0.9","0.029","0.029","0.029","0.029","0.029","0.029"
"-0.009","-0.3","0.028","0.029","0.029","0.029","0.029","0.029"
"-0.016","-1.2","0.024","0.024","0.024","0.024","0.024","0.024"
"0.011","0.1","0.024","0.024","0.024","0.024","0.024","0.024"
"0.017","1.6","0.023","0.023","0.023","0.023","0.023","0.023"
"0.004","0.2","0.026","0.026","0.026","0.026","0.026","0.026"
"-0.006","-0.5","0.024","0.024","0.024","0.025","0.025","0.025"
"-0.012","-0.1","0.024","0.024","0.024","0.024","0.024","0.024"
"-0.018","0.1","0.024","0.024","0.024","0.024","0.024","0.024"
"0.003","-0.1","0.023","0.023","0.023","0.023","0.023","0.023"
"0.01","-0.1","0.023","0.023","0.023","0.023","0.023","0.023"
"0.01","-0.1","0.024","0.024","0.024","0.024","0.024","0.023"
"0.013","-1","0.025","0.025","0.025","0.025","0.025","0.025"
"0.002","-0.5","0.024","0.024","0.024","0.024","0.024","0.024"
"-0.005","-0.1","0.024","0.023","0.023","0.023","0.023","0.023"
"-0.012","0.1","0.024","0.024","0.024","0.024","0.024","0.024"
"-0.006","0","0.021","0.021","0.021","0.021","0.021","0.021"
"0.007","-0.1","0.021","0.021","0.021","0.021","0.021","0.021"
"0.007","-0.1","0.023","0.021","0.021","0.021","0.021","0.021"
"0.008","-4.4","0.023","0.024","0.024","0.024","0.024","0.024"
"-0.009","0.1","0.025","0.025","0.025","0.025","0.025","0.025"
"-0.012","0.1","0.025","0.025","0.025","0.025","0.025","0.025"
"-0.011","-0.2","0.024","0.024","0.024","0.025","0.025","0.025"
"0.004","-0.2","0.021","0.02","0.02","0.019","0.019","0.019"
"0.005","-1.4","0.023","0.023","0.023","0.023","0.023","0.023"
"-0.006","-0.1","0.024","0.023","0.023","0.023","0.023","0.023"
"-0.013","-0.5","0.024","0.024","0.024","0.024","0.024","0.024"
"-0.006","-0.1","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.001","-0.5","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.006","-0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.004","0","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.009","0","0.019","0.019","0.019","0.019","0.019","0.019"
"0.003","1.7","0.019","0.02","0.02","0.02","0.02","0.02"
"0.011","-0.3","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.002","-0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.001","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.011","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.011","2","0.017","0.017","0.017","0.017","0.017","0.017"
"0.009","0","0.019","0.019","0.019","0.019","0.019","0.018"
"0.014","0.5","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.007","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.01","0.3","0.017","0.017","0.017","0.017","0.017","0.017"
"0.009","-0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.001","0","0.02","0.019","0.019","0.018","0.018","0.018"
"-0.005","-1.3","0.02","0.02","0.02","0.02","0.02","0.02"
"0.004","0.1","0.019","0.018","0.018","0.018","0.018","0.018"
"0.01","-0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.005","-0.2","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.003","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.007","0.3","0.019","0.019","0.019","0.019","0.019","0.019"
"0.013","-0.1","0.02","0.02","0.02","0.02","0.02","0.019"
"0.012","-0.1","0.022","0.021","0.021","0.02","0.02","0.02"
"0.009","-3.6","0.022","0.022","0.022","0.023","0.023","0.023"
"-0.013","2.6","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.014","0.2","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.013","0.3","0.014","0.014","0.014","0.014","0.014","0.014"
"0.002","-0.2","0.017","0.017","0.017","0.017","0.017","0.017"
"0.004","0.2","0.019","0.019","0.019","0.019","0.019","0.019"
"0.001","-3.8","0.021","0.021","0.021","0.021","0.021","0.02"
"-0.011","-1.6","0.025","0.025","0.025","0.025","0.025","0.025"
"0.006","0.3","0.023","0.024","0.024","0.024","0.024","0.024"
"0.006","-0.1","0.02","0.02","0.02","0.02","0.02","0.022"
"0.018","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.016","-0.1","0.016","0.016","0.016","0.016","0.016","0.016"
"0.002","-0.8","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.003","0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.021","0","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.009","0.4","0.019","0.019","0.019","0.019","0.019","0.019"
"0.006","-0.1","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.002","0.8","0.023","0.023","0.023","0.023","0.023","0.023"
"0.003","0.1","0.017","0.018","0.018","0.018","0.018","0.018"
"-0.003","0.7","0.017","0.017","0.017","0.017","0.017","0.017"
"0.001","-0.3","0.014","0.014","0.014","0.014","0.014","0.014"
"-0.006","-5.5","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.014","1.2","0.024","0.024","0.024","0.024","0.024","0.024"
"-0.004","-0.4","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-2.2","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.004","0.5","0.017","0.017","0.017","0.018","0.018","0.018"
"-0.001","-0.1","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.004","-5","0.022","0.022","0.022","0.022","0.022","0.022"
"0.008","0","0.02","0.02","0.02","0.02","0.02","0.02"
"0.001","0.2","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.012","0.6","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.015","-1.4","0.016","0.016","0.016","0.016","0.016","0.016"
"0.01","0.4","0.021","0.021","0.021","0.021","0.021","0.021"
"0.017","-1.6","0.019","0.022","0.022","0.022","0.022","0.022"
"0.016","0.3","0.015","0.015","0.015","0.015","0.015","0.015"
"-0.005","-0.4","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.016","-0.1","0.021","0.021","0.021","0.021","0.021","0.021"
"0.002","4.3","0.017","0.017","0.017","0.017","0.017","0.017"
"0.015","-0.4","0.021","0.02","0.02","0.02","0.02","0.02"
"0.02","0.7","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.002","-0.3","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.006","0.2","0.017","0.018","0.018","0.018","0.018","0.018"
"-0.007","0.5","0.016","0.017","0.017","0.018","0.018","0.018"
"-0.009","-0.8","0.02","0.02","0.02","0.02","0.02","0.02"
"0.01","-0.5","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.002","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.001","0","0.016","0.016","0.016","0.016","0.016","0.016"
"0.008","-5.8","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.018","0.4","0.02","0.022","0.022","0.023","0.023","0.023"
"-0.014","5.2","0.018","0.018","0.018","0.018","0.018","0.018"
"0.007","-5.1","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.006","0","0.02","0.02","0.02","0.02","0.02","0.02"
"0.001","0.8","0.016","0.016","0.016","0.016","0.016","0.016"
"0.004","-0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.01","0.7","0.018","0.017","0.017","0.017","0.017","0.017"
"-0.008","-0.3","0.018","0.018","0.018","0.018","0.018","0.018"
"0.002","-1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.024","0.5","0.017","0.017","0.017","0.017","0.017","0.017"
"0.007","1.1","0.018","0.018","0.018","0.019","0.019","0.019"
"-0.006","-0.1","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.022","-1.3","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.033","-0.8","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.028","-0.2","0.019","0.019","0.019","0.019","0.019","0.018"
"0.015","0.7","0.021","0.02","0.02","0.02","0.02","0.02"
"0.015","0.8","0.021","0.021","0.021","0.021","0.021","0.02"
"0.007","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.011","2.3","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.016","-0.4","0.017","0.016","0.016","0.016","0.016","0.016"
"0.008","0","0.017","0.017","0.017","0.017","0.017","0.017"
"0.002","4.7","0.017","0.017","0.017","0.017","0.017","0.017"
"0.007","-0.2","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.018","-0.9","0.023","0.023","0.023","0.023","0.023","0.023"
"-0.015","-0.4","0.023","0.023","0.023","0.023","0.023","0.024"
"0.01","1.9","0.018","0.018","0.018","0.018","0.018","0.018"
"0.02","-0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"0.01","-0.4","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.001","-0.2","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.022","-0.2","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.021","-0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"0","-0.4","0.02","0.019","0.019","0.019","0.019","0.019"
"0.01","-2.6","0.023","0.023","0.023","0.023","0.023","0.023"
"0.013","0.7","0.018","0.018","0.018","0.021","0.021","0.022"
"0.002","-0.4","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.011","1","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.01","-0.3","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.001","-0.2","0.021","0.021","0.021","0.021","0.021","0.021"
"0.011","0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.003","-0.1","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.019","-0.7","0.02","0.021","0.021","0.021","0.021","0.021"
"-0.009","0.7","0.015","0.015","0.015","0.015","0.015","0.015"
"0.012","-1.8","0.018","0.018","0.018","0.018","0.018","0.018"
"0.014","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.014","0.1","0.017","0.019","0.019","0.02","0.02","0.02"
"-0.011","2.9","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.024","-2","0.015","0.015","0.015","0.015","0.015","0.016"
"0.017","-1.2","0.017","0.017","0.017","0.017","0.017","0.017"
"0.011","-5.1","0.023","0.023","0.023","0.023","0.023","0.023"
"0.009","0.8","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.015","0","0.02","0.02","0.02","0.02","0.02","0.02"
"0.009","0.9","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.001","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.002","0","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.004","0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.003","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.013","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.004","0","0.018","0.019","0.019","0.019","0.019","0.019"
"-0.014","-0.1","0.016","0.016","0.016","0.016","0.016","0.016"
"0.009","0.1","0.02","0.017","0.017","0.016","0.016","0.016"
"0.012","-4.5","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.004","0","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.011","0","0.018","0.018","0.018","0.018","0.018","0.018"
"0.003","0.3","0.018","0.019","0.019","0.019","0.019","0.019"
"0.015","0.2","0.017","0.017","0.017","0.017","0.017","0.017"
"0.015","-0.1","0.017","0.018","0.018","0.018","0.018","0.017"
"0.014","0","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.006","-0.1","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.006","0","0.019","0.019","0.019","0.019","0.019","0.019"
"0.001","0.1","0.018","0.019","0.019","0.019","0.019","0.019"
"0.006","0.3","0.017","0.017","0.017","0.017","0.017","0.017"
"-0.003","0","0.018","0.018","0.018","0.019","0.019","0.019"
"-0.007","-0.7","0.017","0.017","0.017","0.017","0.017","0.017"
"0.001","0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"0.01","-0.8","0.019","0.019","0.019","0.019","0.019","0.019"
"0.002","0","0.018","0.019","0.019","0.019","0.019","0.019"
"0.002","4.8","0.016","0.016","0.016","0.016","0.016","0.016"
"-0.005","-0.1","0.015","0.015","0.015","0.015","0.015","0.015"
"-0.014","0","0.015","0.015","0.015","0.015","0.015","0.015"
"-0.005","0.1","0.019","0.019","0.019","0.018","0.018","0.018"
"0.002","-1.4","0.019","0.019","0.019","0.019","0.019","0.019"
"0.016","0.5","0.019","0.019","0.019","0.019","0.019","0.019"
"0.02","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"0.023","1.3","0.035","0.035","0.035","0.035","0.035","0.035"
"0.014","-0.3","0.035","0.035","0.035","0.035","0.035","0.035"
"0.004","0.3","0.034","0.034","0.034","0.034","0.034","0.034"
"-0.012","-0.3","0.034","0.036","0.036","0.036","0.036","0.036"
"-0.012","-0.2","0.032","0.032","0.032","0.034","0.034","0.036"
"-0.011","-0.2","0.036","0.035","0.035","0.035","0.035","0.035"
"0.006","0.2","0.034","0.034","0.034","0.034","0.034","0.034"
"0.011","-0.2","0.034","0.034","0.034","0.034","0.034","0.034"
"-0.005","0.1","0.032","0.032","0.032","0.032","0.032","0.032"
"0.01","1.7","0.03","0.03","0.03","0.03","0.03","0.03"
"-0.005","-0.9","0.032","0.032","0.032","0.032","0.032","0.032"
"0.001","-0.2","0.029","0.029","0.029","0.029","0.029","0.029"
"0.001","-2.8","0.031","0.031","0.031","0.031","0.031","0.031"
"-0.006","-0.1","0.03","0.03","0.03","0.03","0.03","0.03"
"-0.005","-0.1","0.029","0.029","0.029","0.029","0.029","0.029"
"0.003","-0.2","0.029","0.029","0.029","0.029","0.029","0.029"
"0.01","-0.9","0.025","0.025","0.025","0.025","0.025","0.025"
"-0.004","-0.2","0.026","0.026","0.026","0.026","0.026","0.026"
"-0.001","-0.1","0.025","0.025","0.025","0.025","0.025","0.025"
"-0.003","-0.1","0.024","0.024","0.024","0.024","0.024","0.024"
"-0.008","0.1","0.022","0.023","0.023","0.023","0.023","0.023"
"0.008","0","0.023","0.023","0.023","0.023","0.023","0.023"
"0.008","-0.1","0.023","0.023","0.023","0.023","0.023","0.023"
"0.005","0.1","0.022","0.022","0.022","0.022","0.022","0.022"
"0.003","-0.1","0.024","0.022","0.022","0.022","0.022","0.022"
"-0.011","-2.3","0.022","0.024","0.024","0.025","0.025","0.025"
"-0.011","0.6","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.012","0.4","0.022","0.022","0.022","0.022","0.022","0.022"
"0.002","0.1","0.023","0.024","0.024","0.024","0.024","0.024"
"0.011","0","0.024","0.024","0.024","0.024","0.024","0.024"
"0.009","0.6","0.023","0.023","0.023","0.023","0.023","0.023"
"-0.001","-0.6","0.02","0.021","0.021","0.021","0.021","0.021"
"-0.002","-0.1","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.012","-0.3","0.019","0.019","0.019","0.019","0.019","0.019"
"0.001","-0.3","0.021","0.019","0.019","0.019","0.019","0.019"
"0.002","0.1","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.007","0.2","0.024","0.024","0.024","0.024","0.024","0.024"
"0.003","3.9","0.02","0.02","0.02","0.02","0.02","0.02"
"0","-0.6","0.018","0.018","0.018","0.018","0.018","0.018"
"0.009","-0.2","0.02","0.019","0.019","0.019","0.019","0.019"
"0.005","-0.4","0.021","0.021","0.021","0.021","0.021","0.021"
"0.001","2","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.001","0.3","0.019","0.019","0.019","0.019","0.019","0.019"
"-0.019","0.1","0.02","0.02","0.02","0.02","0.02","0.02"
"-0.013","-0.5","0.019","0.018","0.018","0.018","0.018","0.018"
"-0.006","-0.6","0.021","0.021","0.021","0.021","0.021","0.021"
"0.005","-2.2","0.019","0.019","0.019","0.02","0.02","0.021"
"0.015","3.5","0.017","0.017","0.017","0.017","0.017","0.017"
"0.021","-0.3","0.017","0.017","0.017","0.017","0.017","0.017"
"0.006","0.1","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.004","-0.2","0.021","0.021","0.021","0.021","0.021","0.021"
"-0.009","-0.8","0.018","0.018","0.018","0.018","0.018","0.018"
"0.004","-0.5","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.004","-0.1","0.022","0.022","0.022","0.022","0.022","0.022"
"-0.005","1.5","0.018","0.018","0.018","0.018","0.018","0.018"
"-0.004","0.1","0.014","0.014","0.014","0.014","0.014","0.014"
"0.011","-0.3","0.015","0.015","0.015","0.015","0.015","0.015"
"0.011","-0.3","0.017","0.015","0.015","0.015","0.015","0.015"
"0.01","-0.1","0.021","0.021","0.021","0.02","0.02","0.018"
"-0.009","0.4","0.022","0.022","0.022","0.022","0.022","0.022"
